Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,17.309593,18.359893,90.0,bottom
C2,100n,C_0402_1005Metric,12.6875,17.116,270.0,bottom
C3,100n,C_0402_1005Metric,4.2744,11.4494,270.0,bottom
C4,100n,C_0402_1005Metric,15.806,21.3554,180.0,bottom
C5,1u,C_0402_1005Metric,5.0618,6.6996,270.0,bottom
C6,1u,C_0402_1005Metric,1.1756,8.0458,0.0,bottom
C7,10u,C_0603_1608Metric,1.074,10.1416,270.0,bottom
C8,100n,C_0402_1005Metric,13.4184,27.4768,270.0,bottom
C9,100n,C_0402_1005Metric,15.0186,28.7976,0.0,bottom
C12,100n,C_0402_1005Metric,17.33,26.5116,90.0,bottom
C13,100n,C_0402_1005Metric,9.71,15.2848,0.0,bottom
C16,100n,C_0402_1005Metric,8.0084,27.6036,90.0,bottom
C17,100n,C_0402_1005Metric,6.6112,17.4464,270.0,bottom
C18,1u,C_0402_1005Metric,5.4176,27.6544,90.0,bottom
C19,1u,C_0402_1005Metric,2.8012,20.5934,270.0,bottom
C21,100n,C_0402_1005Metric,4.427,27.6316,90.0,bottom
C22,100n,C_0402_1005Metric,2.8012,25.8766,90.0,bottom
C23,100n,C_0402_1005Metric,7.5738,17.4718,270.0,bottom
C24,100n,C_0402_1005Metric,7.0432,27.6062,90.0,bottom
C25,100n,C_0402_1005Metric,12.0496,24.886,270.0,bottom
C26,100n,C_0402_1005Metric,12.5548,21.4062,180.0,bottom
C27,100n,C_0402_1005Metric,7.551,34.1316,0.0,bottom
C32,1u,C_0402_1005Metric,12.1738,38.955,180.0,bottom
C50,100n,C_0402_1005Metric,4.8586,39.0846,0.0,bottom
D1,D_Schottky,D_SOD-323F,9.329,1.8872,270.0,bottom
J7,USB_B_Micro,MICRO-USB-SMD_U254-051T-4BHJ25-F2S,3.5729,32.5312,90.0,bottom
Q1,AO3401A,SOT-23,2.5726,1.7212,180.0,bottom
Q2,AO3400A,SOT-23,16.3902,12.3615,270.0,bottom
Q3,AO3401A,SOT-23,2.217,5.4042,270.0,bottom
Q4,AO3400A,SOT-23,9.7608,11.6018,90.0,bottom
Q5,AO3400A,SOT-23,16.2226,7.2561,90.0,bottom
Q9,AO3400A,SOT-23,16.2022,2.3285,90.0,bottom
R1,5.1k,R_0402_1005Metric,5.6206,17.2152,90.0,bottom
R2,30k,R_0402_1005Metric,2.344,11.424,90.0,bottom
R3,1k,R_0402_1005Metric,5.6714,13.075,0.0,bottom
R4,51k,R_0402_1005Metric,3.3092,11.424,270.0,bottom
R10,1k,R_0402_1005Metric,16.5426,14.8022,0.0,bottom
R11,1k,R_0402_1005Metric,16.6696,9.6968,180.0,bottom
R12,1k,R_0402_1005Metric,16.6442,4.7946,180.0,bottom
R13,5.1k,R_0402_1005Metric,16.1108,25.0638,0.0,bottom
R14,1k,R_0402_1005Metric,13.4946,35.6556,0.0,bottom
R15,22R,R_0402_1005Metric,7.424,30.0422,270.0,bottom
R16,5.1k,R_0402_1005Metric,14.028,23.362,90.0,bottom
R17,1k,R_0402_1005Metric,9.9894,9.1888,180.0,bottom
R18,22R,R_0402_1005Metric,6.4588,30.093,90.0,bottom
R20,30k,R_0402_1005Metric,11.4372,6.7504,270.0,bottom
R21,51k,R_0402_1005Metric,9.9894,7.106,0.0,bottom
R22,30k,R_0402_1005Metric,11.4118,4.7438,270.0,bottom
R23,51k,R_0402_1005Metric,9.5576,5.5566,90.0,bottom
R24,30k,R_0402_1005Metric,11.4626,8.6808,270.0,bottom
R25,51k,R_0402_1005Metric,9.9894,8.1728,0.0,bottom
R26,30k,R_0402_1005Metric,12.7834,14.4212,0.0,bottom
R27,51k,R_0402_1005Metric,9.7354,14.0402,0.0,bottom
R28,1k,R_0402_1005Metric,12.5548,22.4222,180.0,bottom
U2,BMI088,LGA-16_L4.5-W3.0-P0.50-BL,15.0243,18.414,0.0,bottom
U3,BMP388,SENSORM-SMD_BMP388,15.933,23.235,270.0,bottom
U4,LIS3MDLTR,LGA-12_L2.0-W2.0-P0.50-BL,15.3488,26.9434,90.0,bottom
U5,ADXL375BCCZ-RL7,LGA-14_L5.0-W3.0-P0.80-BL,8.7702,37.2304,180.0,bottom
U6,RT9013-33GB_C19268157,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,3.7664,8.9156,0.0,bottom
U8,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,7.4368,22.5618,0.0,bottom
U9,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,13.1136,32.252,0.0,bottom
X2,SX1M12.000M10F30TNN,OSC-SMD_4P-L2.0-W1.6-BL,9.7934,17.1294,0.0,bottom
