Designator,Mid X,Mid Y,Rotation,Layer
C1,17.275486,43.4854,0.0,bottom
C10,9.807886,55.9822,0.0,bottom
C11,6.963086,56.6934,90.0,bottom
C12,5.299886,47.311001,90.0,bottom
C13,8.093886,49.102001,0.0,bottom
C14,7.204886,45.038001,180.0,bottom
C15,10.837,10.313,180.0,bottom
C16,4.995,36.094,0.0,bottom
C17,16.311,33.046,180.0,bottom
C2,17.097686,48.667,0.0,bottom
C21,13.4024,39.9424,90.0,bottom
C22,12.361,29.363,0.0,bottom
C23,8.424,29.363,0.0,bottom
C24,5.0204,34.57,0.0,bottom
C25,16.298,37.618,180.0,bottom
C26,9.694,39.8916,90.0,bottom
C28,18.838,27.344,90.0,bottom
C3,13.074486,55.7282,90.0,bottom
C4,17.621086,55.7282,90.0,bottom
C5,9.821,2.693,270.0,bottom
C6,8.17,4.344,270.0,bottom
C7,7.154,11.7608,0.0,bottom
C8,7.154,13.234,0.0,bottom
C9,15.345086,55.017,180.0,bottom
D3,16.679,30.125,90.0,bottom
J5,2.9188,27.061,90.0,bottom
J7,20.3271,35.0018,270.0,bottom
Q1,6.9152,16.0303,270.0,bottom
Q2,14.598499,19.711,180.0,bottom
Q3,14.598499,24.283,180.0,bottom
Q4,14.266,14.377,180.0,bottom
Q5,14.471499,9.297,180.0,bottom
R1,8.297,59.081,180.0,bottom
R10,18.203,23.013,180.0,bottom
R11,17.9236,13.361,180.0,bottom
R12,18.203,21.489,0.0,bottom
R13,17.9744,11.837,0.0,bottom
R15,16.3488,34.57,0.0,bottom
R16,14.266,26.823,0.0,bottom
R17,14.012,11.837,0.0,bottom
R18,16.3742,36.094,180.0,bottom
R19,18.203,19.965,0.0,bottom
R2,5.0082,33.0206,180.0,bottom
R20,18.0374,9.297,0.0,bottom
R21,18.965,17.679,270.0,bottom
R22,19.346,52.54,90.0,bottom
R23,17.885,7.773,180.0,bottom
R24,17.441,17.679,90.0,bottom
R25,17.885,6.249,0.0,bottom
R26,14.139,17.044,0.0,bottom
R27,14.266,6.757,0.0,bottom
R3,18.5332,40.5644,90.0,bottom
R4,6.4936,43.4346,180.0,bottom
R5,6.4682,41.964601,0.0,bottom
R6,12.627286,46.876799,270.0,bottom
R7,10.976286,46.8768,270.0,bottom
R8,18.203,24.537,0.0,bottom
R9,17.9358,14.8342,0.0,bottom
U1,13.504,3.455,180.0,bottom
U2,17.205486,46.0748,270.0,bottom
U3,15.563686,52.1906,270.0,bottom
U4,8.2716,52.6134,180.0,bottom
U5,7.331886,47.070001,90.0,bottom
U6,10.837,12.345,180.0,bottom
U7,9.44,23.858,90.0,bottom
U8,10.672,34.227,90.0,bottom
X1,1.7692,32.8174,90.0,bottom
